권역,시군,읍면동,주용도,용도지역,건물유형,건축년도,규모,건폐율(%),거래유형,매도자,매수자,대지(평),연면적(평),거래금액(만원),대지평단가(만원),연면적평단가(만원),거래월,신규
남부,성남시,상대원동,공장,일반공업,집합,2019,소형(~500평),0,중개거래,개인,법인,0,24.6,34400,0,1397.9,2025-07,
남부,성남시,상대원동,공장,일반공업,집합,2002,소형(~500평),0,중개거래,법인,법인,0,86.1,80000,0,928.9,2025-07,
남부,성남시,상대원동,공장,일반공업,집합,2010,소형(~500평),0,중개거래,법인,법인,0,81.8,101000,0,1234.9,2025-07,
남부,성남시,상대원동,공장,일반공업,집합,2013,소형(~500평),0,중개거래,개인,법인,0,38.9,44000,0,1130.1,2025-07,
남부,성남시,상대원동,공장,일반공업,집합,,소형(~500평),0,중개거래,개인,개인,0,26.9,43000,0,1600.8,2025-07,
남부,성남시,상대원동,공장,일반공업,집합,2021,소형(~500평),0,중개거래,개인,개인,0,6.5,12000,0,1842.5,2025-07,
남부,성남시,상대원동,공장,일반공업,집합,2019,소형(~500평),0,중개거래,개인,법인,0,16.0,38000,0,2375.1,2025-07,
남부,성남시,상대원동,공장,일반공업,집합,2019,소형(~500평),0,중개거래,법인,법인,0,27.5,38000,0,1383.3,2025-07,
남부,성남시,상대원동,공장,일반공업,집합,,소형(~500평),0,중개거래,법인,법인,0,36.3,49850,0,1372.0,2025-07,
남부,성남시,상대원동,공장,일반공업,집합,,소형(~500평),0,중개거래,법인,법인,0,34.7,47650,0,1372.1,2025-07,
남부,성남시,상대원동,공장,일반공업,집합,,소형(~500평),0,중개거래,법인,법인,0,34.7,47500,0,1367.8,2025-07,
남부,성남시,상대원동,공장,일반공업,집합,,소형(~500평),0,중개거래,법인,법인,0,48.4,44000,0,908.8,2025-07,
남부,성남시,상대원동,공장,일반공업,집합,2006,소형(~500평),0,중개거래,개인,법인,0,38.8,40000,0,1030.2,2026-06,
남부,성남시,상대원동,공장,제2종일반주거,집합,2004,소형(~500평),0,직거래,법인,법인,0,31.8,31000,0,973.6,2025-08,
남부,성남시,상대원동,공장,일반공업,집합,1998,소형(~500평),0,직거래,법인,법인,0,93.0,77300,0,831.5,2025-08,
남부,성남시,상대원동,공장,일반공업,집합,2008,소형(~500평),0,중개거래,개인,개인,0,12.4,3800,0,307.2,2025-08,
남부,성남시,상대원동,공장,일반공업,집합,2005,소형(~500평),0,중개거래,개인,법인,0,40.5,42500,0,1048.5,2025-08,
남부,성남시,상대원동,공장,제2종일반주거,집합,,소형(~500평),0,중개거래,개인,법인,0,7.2,7500,0,1037.8,2025-08,
남부,성남시,상대원동,공장,일반공업,집합,2008,소형(~500평),0,중개거래,법인,법인,0,61.9,68000,0,1099.0,2025-08,
남부,성남시,상대원동,공장,일반공업,집합,,소형(~500평),0,중개거래,개인,법인,0,33.0,35200,0,1066.8,2025-08,
남부,성남시,상대원동,공장,일반공업,집합,2008,소형(~500평),0,중개거래,개인,개인,0,57.8,59500,0,1028.8,2025-08,
남부,성남시,상대원동,공장,일반공업,집합,2010,소형(~500평),0,중개거래,개인,법인,0,24.6,22000,0,895.7,2025-08,
남부,성남시,상대원동,공장,일반공업,집합,2008,소형(~500평),0,직거래,법인,법인,0,31.3,29500,0,941.3,2026-01,
남부,성남시,상대원동,공장,일반공업,집합,2003,소형(~500평),0,중개거래,법인,법인,0,60.3,65000,0,1077.1,2025-09,
남부,성남시,상대원동,공장,일반공업,집합,2003,소형(~500평),0,중개거래,법인,법인,0,143.7,155000,0,1078.3,2025-09,
남부,성남시,상대원동,공장,일반공업,집합,2019,소형(~500평),0,중개거래,법인,개인,0,6.9,12850,0,1860.7,2025-09,
남부,성남시,상대원동,공장,일반공업,집합,2008,소형(~500평),0,중개거래,개인,개인,0,21.2,21700,0,1024.8,2025-09,
남부,성남시,상대원동,공장,일반공업,집합,2008,소형(~500평),0,중개거래,개인,개인,0,46.6,48300,0,1035.9,2025-09,
남부,성남시,상대원동,공장,일반공업,집합,2010,소형(~500평),0,직거래,법인,법인,0,52.1,62000,0,1190.0,2025-09,
남부,성남시,상대원동,공장,일반공업,집합,,소형(~500평),0,중개거래,개인,법인,0,24.6,22800,0,926.1,2026-05,
남부,성남시,상대원동,공장,일반공업,집합,,소형(~500평),0,중개거래,개인,법인,0,6.4,5500,0,853.6,2025-09,
남부,성남시,상대원동,공장,일반공업,집합,,소형(~500평),0,중개거래,법인,개인,0,47.5,29400,0,619.5,2025-09,
남부,성남시,상대원동,공장,일반공업,집합,2006,소형(~500평),0,중개거래,개인,법인,0,28.7,22000,0,766.2,2025-10,
남부,성남시,상대원동,공장,일반공업,집합,2022,소형(~500평),0,중개거래,법인,법인,0,31.7,63000,0,1984.6,2025-10,
남부,성남시,상대원동,공장,일반공업,집합,2022,소형(~500평),0,중개거래,개인,법인,0,16.5,33000,0,1998.0,2026-01,
남부,성남시,상대원동,공장,일반공업,집합,2022,소형(~500평),0,중개거래,개인,법인,0,29.9,59000,0,1973.1,2026-01,
남부,성남시,상대원동,공장,일반공업,집합,2003,소형(~500평),0,중개거래,법인,법인,0,143.7,157500,0,1095.7,2025-10,
남부,성남시,상대원동,공장,일반공업,집합,2003,소형(~500평),0,중개거래,법인,법인,0,60.3,66000,0,1093.6,2025-10,
남부,성남시,상대원동,공장,일반공업,집합,2003,소형(~500평),0,중개거래,법인,법인,0,60.3,64500,0,1068.8,2025-10,
